subject,datestamp,timestamp,version,crt1,crt2,crt3,id,crt_score,,,,Correct answers:
A2UXOEFCUYEV8U_m3r5,8/19/2014,17:40:16,lossave_moral,0,100,6,523,0,,,,
A2VCNB4XETPOT2_m3r5,8/19/2014,17:07:02,lossave_moral,10,1000,196,319,0,,,,
A2W1B07YBSBFBQ_m3r5,8/19/2014,17:58:21,lossave_moral,0,100,24,542,0,,,,
A2WDTJBM4ES5S4_m3r5,8/19/2014,17:20:18,lossave_moral,5,5,47,419,3,,,,
A2WF8JGMNB4UEN_m3r5,8/19/2014,18:44:03,lossave_moral,0,100,24,560,0,,,,
A2WH5WTM85ZF7G_m3r5,8/19/2014,17:14:33,lossave_moral,10,5,47,382,2,,,,
A2X7J4C6MIXVDB_m3r5,8/19/2014,17:20:25,lossave_moral,10,100,47,420,1,,,,
A2XTUQ4CD1LF2K_m3r5,8/19/2014,17:17:46,lossave_moral,10,100,47,405,1,,,,
A2XVOYY8BDEZXF _m3r5,8/19/2014,18:48:20,lossave_moral,5,100,12,562,1,,,,
A2Y0ZGI29KQBTB_m3r5,8/19/2014,17:16:12,lossave_moral,5,5,47,392,3,,,,
A2YKYAZYVWOXBO_m3r5,8/19/2014,17:50:13,lossave_moral,10,100,24,531,0,,,,
A2ZE2IPHK152KA_m3r5,8/19/2014,17:14:20,lossave_moral,0,5,7,380,1,,,,
A2ZK1HOZ37TN2K_m3r5,8/19/2014,17:05:45,lossave_moral,0,100,47,311,1,,,,
A30EONSVHP1J0F_m3r5,8/19/2014,17:29:39,lossave_moral,0,5,24,497,1,,,,
A30RP0VO7WACHI_m3r5,8/19/2014,17:57:55,lossave_moral,5,5,47,540,3,,,,
A315IS7QIVORIT_m3r5,8/19/2014,17:26:02,lossave_moral,10,100,24,463,0,,,,
A318QP0E1HS9DX_m3r5,8/19/2014,17:04:08,lossave_moral,0,5,47,301,2,,,,
A31O5XYX80XD21_m3r5,8/19/2014,17:28:07,lossave_moral,10,100,24,482,0,,,,
A32MGSAQ6QL9CK_m3r5,8/19/2014,17:26:01,lossave_moral,0,5,47,461,2,,,,
A32VJLRWGMYGSU_m3r5,8/19/2014,17:17:17,lossave_moral,0,5,6,400,1,,,,
A332MXF8R3BG2Z_m3r5,8/19/2014,18:01:40,lossave_moral,10,100,24,543,0,,,,
A333JVWMKDSOF8_m3r5,8/19/2014,17:29:59,lossave_moral,5,20,47,499,2,,,,
A33AZCOKCCTUXV_m3r5,8/19/2014,17:26:56,lossave_moral,5,5,4,470,2,,,,
A34ZSF2JSRXIRP_m3r5,8/19/2014,17:11:57,lossave_moral,1,5,47,357,2,,,,
A350C6KKI33T7R _m3r5,8/19/2014,18:35:21,lossave_moral,0,100,24,557,0,,,,
A35BNQU01DFD0D_m3r5,8/19/2014,17:27:17,lossave_moral,0,100,12,472,0,,,,
A35LNMQUTP7IAF_m3r5,8/19/2014,17:42:35,lossave_moral,0,5,47,526,2,,,,
A35OGKV242IJ78_m3r5,8/19/2014,17:13:15,lossave_moral,10,5,47,373,2,,,,
A35QKJ6MGNT45D_m3r5,8/19/2014,17:28:18,lossave_moral,5,5,47,484,3,,,,
A35RGUQZRI1Q3M_m3r5,8/19/2014,17:07:12,lossave_moral,10,100,47,324,1,,,,
A35UUN98XNQJJS_m3r5,8/19/2014,17:21:35,lossave_moral,10,100,24,426,0,,,,
A3675LEANIPGBO_m3r5,8/19/2014,17:25:29,lossave_moral,0,5,47,458,2,,,,
A36CA84QRHPL2Z_m3r5,8/19/2014,19:03:22,lossave_moral,0,100,47,565,1,,,,
a36t25vuszlifo_m3r5,8/19/2014,18:07:58,lossave_moral,0,100,24,546,0,,,,
A376N72I8BEE46_m3r5,8/19/2014,17:10:56,lossave_moral,10,5,36,351,1,,,,
A37EC6JJ8SSJ2J_m3r5,8/19/2014,17:14:57,lossave_moral,5,5,47,385,3,,,,
A37LY5UTJV2KYZ_m3r5,8/19/2014,17:05:41,lossave_moral,0,5,12,310,1,,,,
A3862RIFFUV141_m3r5,8/19/2014,21:13:21,lossave_moral,5,5,47,577,3,,,,
A389GJDJ0ARZTO_m3r5,8/19/2014,17:10:59,lossave_moral,1,5,24,352,1,,,,
A38K3QQPV8CTPC_m3r5,8/19/2014,17:03:01,lossave_moral,5,5,47,298,3,,,,
A38OV1V7A6UY46_m3r5,8/19/2014,19:14:55,lossave_moral,10,5,24,569,1,,,,
A3938KLA9ORH2U_m3r5,8/19/2014,17:18:40,lossave_moral,0,500,24,409,0,,,,
A39IR8O68MS8OL_m3r5,8/19/2014,17:12:33,lossave_moral,5,5,12,365,2,,,,
A39VNH5NY0C54T_m3r5,8/19/2014,18:18:23,lossave_moral,10,100,6,551,0,,,,
A3AQYGTOA6MFL8_m3r5,8/19/2014,17:25:04,lossave_moral,0,100,47,457,1,,,,
A3AZJGI9D7C0PD_m3r5,8/19/2014,17:22:51,lossave_moral,10,1,24,438,0,,,,
A3CD3C99T8S6ON_m3r5,8/19/2014,17:28:23,lossave_moral,5,5,47,487,3,,,,
A3CLS3ZSAIOAHC_m3r5,8/19/2014,17:17:23,lossave_moral,10,500,24,401,0,,,,
A3DAXQCWF0YI0M_m3r5,8/19/2014,17:22:49,lossave_moral,10,100,24,436,0,,,,
A3DTBL9NV7SDQC_m3r5,8/19/2014,18:20:06,lossave_moral,10,20,24,554,0,,,,
A3E6KX1ULZAWWO_m3r5,8/19/2014,17:05:14,lossave_moral,5,5,47,305,3,,,,
A3F23C3ABMM0W0_m3r5,8/19/2014,17:01:42,lossave_moral,0,10,47,293,1,,,,
A3GUDRDPMAPBKD_m3r5,8/19/2014,17:08:41,lossave_moral,0,5,47,333,2,,,,
A3GWGTLQNHVQ2M_m3r5,8/19/2014,17:16:38,lossave_moral,10,25,6,398,0,,,,
A3H4B9BMSFGXWG_m3r5,8/19/2014,17:23:28,lossave_moral,10,5,24,444,1,,,,
A3HQXCWOIQKT4F_m3r5,8/19/2014,17:12:03,lossave_moral,0,5,47,359,2,,,,
A3I4EEKYGS03T6_m3r5,8/19/2014,17:30:24,lossave_moral,10,50,24,500,0,,,,
A3IJDYRFNW4QY8_m3r5,8/19/2014,17:05:10,lossave_moral,0,1,47,304,1,,,,
A3J55BJGV95JKH_m3r5,8/19/2014,17:18:28,lossave_moral,0,500,24,408,0,,,,
A3JF9SCAXEUCAM_m3r5,8/19/2014,18:48:43,lossave_moral,0,100,47,563,1,,,,
A3JTR8H8X5WF11_m3r5,8/19/2014,17:19:57,lossave_moral,10,5,48,417,1,,,,
A3JTR8H8X5WF11_m3r5,8/19/2014,17:33:01,lossave_moral,10,5,48,512,1,,,,
A3K78FG696O9KL_m3r5,8/19/2014,17:11:24,lossave_moral,0,100,24,356,0,,,,
A3KO0A2DR3CH4F_m3r5,8/19/2014,17:27:44,lossave_moral,0,100,24,478,0,,,,
A3LMBD00DY11MJ_m3r5,8/19/2014,17:16:21,lossave_moral,10,100,36,394,0,,,,
A3M6I7O4VW9KR1_m3r5,8/19/2014,19:00:02,lossave_moral,5,5,47,564,3,,,,
A3MFS69UTW9KL8_m3r5,8/19/2014,17:26:35,lossave_moral,0,100,24,469,0,,,,
A3MHYBS6PHJ5QG_m3r5,8/19/2014,18:32:19,lossave_moral,5,5,47,556,3,,,,
A3N0A01KQ1Z6CE_m3r5,8/19/2014,17:55:02,lossave_moral,5,1,47,537,2,,,,
A3N8JP3QR3VPE8_m3r5,8/19/2014,17:03:20,lossave_moral,5,100,47,299,2,,,,
A3OJCWC178255T_m3r5,8/19/2014,17:33:23,lossave_moral,5,500,47,513,2,,,,
A3OPSGM3T0DIZ7_m3r5,8/19/2014,17:12:35,lossave_moral,5,5,47,366,3,,,,
A3PNHCZVCBIEJ1_m3r5,8/19/2014,17:10:27,lossave_moral,10,5,47,346,2,,,,
A3QLTVQPG1N27R_m3r5,8/19/2014,17:26:01,lossave_moral,10,5,24,462,1,,,,
A3QSI8SVB5HJI7_m3r5,8/19/2014,17:29:24,lossave_moral,0,100,47,494,1,,,,
A3R75ZHD4610J_m3r5,8/19/2014,17:22:27,lossave_moral,5,5,47,432,3,,,,
A3RU7ANMLXJQF6_m3r5,8/19/2014,17:21:17,lossave_moral,5,5,47,424,3,,,,
A3RXVRZ0M163C0_m3r5,8/19/2014,17:37:49,lossave_moral,5,5,47,521,3,,,,
A3S7EWRS6P5UC0_m3r5,8/19/2014,17:29:35,lossave_moral,10,100,47,496,1,,,,
A3SV1YMFKY73IB_m3r5,8/19/2014,17:03:38,lossave_moral,5,5,47,300,3,,,,
A3TG5YNIWW3WGP_m3r5,8/19/2014,17:27:55,lossave_moral,10,500,24,480,0,,,,
A3TON7406KNOVV_m3r5,8/19/2014,17:12:00,lossave_moral,10,100,47,358,1,,,,
A3TUN250T19AUM_m3r5,8/19/2014,17:09:50,lossave_moral,5,5,47,342,3,,,,
A3U3JYF64SJ4EJ_m3r5,8/19/2014,17:21:45,lossave_moral,10,5,47,428,2,,,,
A3UC45GKCAZ7ZU_m3r5,8/19/2014,18:44:29,lossave_moral,0,5,24,561,1,,,,
A3USS4O0RQZ37K_m3r5,8/19/2014,17:07:02,lossave_moral,10,100,32,320,0,,,,
A423QQ5WN43B9_m3r5,8/19/2014,17:27:46,lossave_moral,0,100,24,479,0,,,,
A42P52VP1GLVY_m3r5,8/19/2014,19:47:56,lossave_moral,0,5,47,574,2,,,,
A4CWPB6SOQZDE_m3r5,8/19/2014,17:08:54,lossave_moral,5,5,47,335,3,,,,
A4N6HMS8AW9ZB_m3r5,8/19/2014,17:23:00,lossave_moral,10,5,47,440,2,,,,
A5ZWYI3H052FT_m3r5,8/19/2014,17:26:19,lossave_moral,10,20,24,466,0,,,,
A6GK3W5MDWXCY_m3r5,8/19/2014,17:23:14,lossave_moral,10,100,24,442,0,,,,
A6IFGLL1RUCZU_m3r5,8/19/2014,17:15:17,lossave_moral,10,5,24,389,1,,,,
A70AS0KVKADBY_m3r5,8/19/2014,17:27:36,lossave_moral,0,5,47,476,2,,,,
A77K8W55MJEKX_m3r5,8/19/2014,17:40:58,lossave_moral,5,5,47,524,3,,,,
A83B7NCMVYPLW_m3r5,8/19/2014,17:55:13,lossave_moral,10,100,24,538,0,,,,
A8ZJ0R59VBVMC_m3r5,8/19/2014,17:22:50,lossave_moral,10,5,47,437,2,,,,
A9QJ4L8XYDGUM_m3r5,8/19/2014,17:08:19,lossave_moral,0,100,47,330,1,,,,
AABSPWSANUQZJ_m3r5,8/19/2014,17:03:01,lossave_moral,0,5,47,297,2,,,,
AAE2Y3VOJRZVQ_m3r5,8/19/2014,18:43:57,lossave_moral,10,5,47,559,2,,,,
AAKL8L5X64LWD_m3r5,8/19/2014,18:07:01,lossave_moral,5,5,47,545,3,,,,
AAS0V105QISPM_m3r5,8/19/2014,17:23:38,lossave_moral,10,5,47,445,2,,,,
AB1X97ASE626Q_m3r5,8/19/2014,17:22:29,lossave_moral,10,100,24,433,0,,,,
ACTF0A4SXCOJB_m3r5,8/19/2014,17:12:13,lossave_moral,10,5,24,362,1,,,,
ACVN9KEBM2GHR_m3r5,8/19/2014,17:28:23,lossave_moral,5,1,47,485,2,,,,
ADAMK0ZKZRRS7_m3r5,8/19/2014,19:29:28,lossave_moral,10,20,47,573,1,,,,
ADMTRXEG43HU0_m3r5,8/19/2014,17:04:30,lossave_moral,10,100,24,302,0,,,,
AESUJGBP5G7OJ_m3r5,8/19/2014,17:53:52,lossave_moral,5,5,47,535,3,,,,
AEVU71Z2FDTUX_m3r5,8/19/2014,17:28:59,lossave_moral,0,5,47,489,2,,,,
AF55TOBE2AI1U_m3r5,8/19/2014,17:28:07,lossave_moral,0,100,24,483,0,,,,
AFB9N61OMZXCX_m3r5,8/19/2014,17:11:24,lossave_moral,5,5,47,355,3,,,,
AFS9PAUCGVKHG_m3r5,8/19/2014,17:07:30,lossave_moral,10,5,47,327,2,,,,
AGW9M2B6SRZQ8_m3r5,8/19/2014,18:15:26,lossave_moral,1,5,47,550,2,,,,
AISWQM71RW9A2_m3r5,8/19/2014,17:16:54,lossave_moral,5,5,47,399,3,,,,
AJMKH3WN5HAN7_m3r5,8/19/2014,17:56:58,lossave_moral,10,100,24,539,0,,,,
AKB1IT758U2LU_m3r5,8/19/2014,17:15:15,lossave_moral,5,100,24,388,1,,,,
AKG7VBOY97HKA_m3r5,8/19/2014,17:21:44,lossave_moral,10,25,48,427,0,,,,
ALILKWW13RD9_m3r5,8/19/2014,17:32:25,lossave_moral,0,100,96,509,0,,,,
ALK4VP6TPCBUV_m3r5,8/19/2014,17:12:18,lossave_moral,5,5,47,363,3,,,,
ALN8151AY0OUT_m3r5,8/19/2014,17:44:59,lossave_moral,5,5,47,528,3,,,,
AMS2DNBF8BGUM_m3r5,8/19/2014,17:08:57,lossave_moral,5,5,47,336,3,,,,
AN25IBDC0DUO7_m3r5,8/19/2014,17:29:08,lossave_moral,5,5,47,492,3,,,,
ANMC5ZLSMTY43_m3r5,8/19/2014,17:31:11,lossave_moral,5,100,36,504,1,,,,
AO3XB5I5QNNUI_m3r5,8/19/2014,17:05:30,lossave_moral,5,5,47,308,3,,,,
AQ2INPVVXR1G0_m3r5,8/19/2014,17:07:17,lossave_moral,5,5,47,325,3,,,,
AQ36OBO2GRA00_m3r5,8/19/2014,17:05:48,lossave_moral,5,5,47,312,3,,,,
AQHYHAYS90S76_m3r5,8/19/2014,17:19:20,lossave_moral,10,100,24,415,0,,,,
ARN53ET0LBBBP_m3r5,8/19/2014,17:24:54,lossave_moral,5,5,47,453,3,,,,
ARNVB51ESK8MO_m3r5,8/19/2014,17:02:57,lossave_moral,10,100,24,296,0,,,,
ARVXIBUCA8WDZ_m3r5,8/19/2014,17:12:42,lossave_moral,5,5,47,369,3,,,,
ASXACVODSYD7G_m3r5,8/19/2014,18:19:23,lossave_moral,0,5,47,553,2,,,,
AT9AFUEEYD8DE_m3r5,8/19/2014,17:20:18,lossave_moral,10,100,24,418,0,,,,
ATATCYCP7QBQ9_m3r5,8/19/2014,17:09:51,lossave_moral,0,5,47,343,2,,,,
ATDFF5B4NKQC7_m3r5,8/19/2014,17:17:35,lossave_moral,10,5,12,404,1,,,,
ATHS9GUME1XCA_m3r5,8/19/2014,17:10:51,lossave_moral,10,100,24,348,0,,,,
ATS4LL42S463Z_m3r5,8/19/2014,17:10:40,lossave_moral,0,100,96,347,0,,,,
ATVU7N0LN2VY3_m3r5,8/19/2014,17:33:41,lossave_moral,5,5,47,514,3,,,,
AU0NZI2T3R792_m3r5,8/19/2014,17:15:31,lossave_moral,1,100,47,390,1,,,,
AVIOR20K5ZXQD_m3r5,8/19/2014,17:24:57,lossave_moral,0,5,47,454,2,,,,
AVPKE76DJLWK6_m3r5,8/19/2014,17:19:01,lossave_moral,0,5,47,413,2,,,,
AVRED1AI0MTSU_m3r5,8/19/2014,18:11:10,lossave_moral,0,1,47,547,1,,,,
AVZOC3OGBQRX2_m3r5,8/19/2014,17:08:58,lossave_moral,0,5,47,337,2,,,,
AWKM2C49JSGYK_m3r5,8/19/2014,17:04:39,lossave_moral,0,20,47,303,1,,,,
AX1I9MBLJDKGA_m3r5,8/19/2014,17:06:58,lossave_moral,5,5,47,318,3,,,,
AXPJ220BBN3MU_m3r5,8/19/2014,17:16:24,lossave_moral,5,5,47,395,3,,,,
AY1CM9ZI774II_m3r5,8/19/2014,17:24:04,lossave_moral,0,5,24,446,1,,,,
